iter	Passed	Remaining
0	3	3651
1	6	3360
2	9	3113
3	12	3233
4	15	3152
5	18	3061
6	20	2924
7	23	2873
8	25	2853
9	28	2785
10	30	2725
11	32	2689
12	34	2653
13	38	2682
14	40	2686
15	43	2675
16	45	2635
17	47	2601
18	49	2579
19	52	2568
20	55	2593
21	58	2621
22	61	2604
23	63	2581
24	65	2567
25	68	2550
26	70	2553
27	73	2557
28	75	2530
29	77	2503
30	79	2478
31	81	2453
32	83	2460
33	87	2484
34	90	2482
35	91	2463
36	94	2449
37	95	2429
38	98	2420
39	101	2447
40	104	2440
41	106	2432
42	108	2418
43	110	2405
44	113	2410
45	117	2440
46	119	2432
47	122	2428
48	124	2415
49	126	2408
50	129	2412
51	132	2415
52	134	2402
53	136	2394
54	138	2388
55	140	2376
56	143	2374
57	146	2374
58	148	2369
59	150	2358
60	152	2349
61	154	2342
62	157	2345
63	160	2351
64	163	2347
65	165	2337
66	167	2329
67	169	2323
68	172	2322
69	174	2317
70	176	2315
71	178	2307
72	181	2300
73	183	2291
74	185	2291
75	188	2290
76	191	2290
77	193	2290
78	195	2281
79	197	2274
80	200	2276
81	203	2274
82	204	2263
83	207	2264
84	209	2256
85	211	2248
86	213	2242
87	215	2234
88	218	2233
89	221	2234
90	223	2229
91	225	2223
92	227	2218
93	229	2212
94	231	2209
95	234	2207
96	236	2205
97	238	2198
98	241	2193
99	243	2188
100	245	2183
101	248	2188
102	251	2188
103	253	2184
104	255	2180
105	258	2176
106	260	2170
107	263	2179
108	266	2177
109	269	2177
110	271	2173
111	273	2166
112	275	2159
113	277	2154
114	280	2156
115	283	2160
116	285	2152
117	287	2146
118	289	2140
119	290	2132
120	292	2128
121	295	2123
122	298	2125
123	300	2123
124	302	2118
125	304	2113
126	307	2113
127	310	2116
128	312	2111
129	314	2106
130	316	2101
131	318	2096
132	321	2094
133	324	2099
134	327	2097
135	329	2094
136	332	2091
137	334	2087
138	336	2083
139	339	2086
140	341	2080
141	342	2071
142	344	2067
143	346	2062
144	348	2057
145	350	2052
146	353	2051
147	355	2047
148	357	2042
149	359	2038
150	361	2033
151	363	2027
152	365	2024
153	367	2021
154	370	2020
155	372	2016
156	374	2010
157	376	2005
158	378	2001
159	380	1996
160	381	1988
161	384	1987
162	386	1982
163	388	1979
164	390	1974
165	392	1969
166	394	1967
167	397	1968
168	400	1967
169	402	1965
170	404	1961
171	406	1959
172	408	1954
173	410	1950
174	414	1955
175	417	1956
176	419	1952
177	422	1950
178	424	1949
179	427	1947
180	430	1947
181	432	1946
182	434	1941
183	438	1943
184	440	1940
185	443	1940
186	445	1938
187	448	1937
188	451	1935
189	453	1931
190	455	1929
191	457	1925
192	460	1924
193	462	1923
194	465	1923
195	468	1920
196	470	1916
197	472	1913
198	474	1911
199	477	1911
200	480	1910
201	482	1907
202	484	1903
203	487	1902
204	490	1901
205	494	1904
206	495	1899
207	497	1895
208	499	1891
209	501	1887
210	504	1885
211	507	1887
212	509	1884
213	512	1880
214	514	1876
215	516	1873
216	519	1874
217	522	1872
218	524	1869
219	526	1866
220	528	1863
221	530	1859
222	532	1856
223	535	1856
224	538	1853
225	539	1849
226	541	1844
227	543	1840
228	545	1836
229	547	1833
230	550	1832
231	553	1832
232	555	1827
233	556	1823
234	558	1819
235	560	1814
236	562	1812
237	565	1810
238	567	1808
239	569	1804
240	571	1800
241	573	1796
242	575	1792
243	578	1792
244	581	1790
245	583	1788
246	585	1784
247	587	1780
248	588	1776
249	590	1772
250	593	1770
251	595	1769
252	597	1764
253	599	1760
254	601	1756
255	602	1752
256	604	1748
257	606	1745
258	609	1742
259	611	1741
260	613	1737
261	615	1733
262	617	1729
263	619	1725
264	620	1721
265	623	1720
266	625	1718
267	627	1713
268	629	1709
269	631	1706
270	632	1702
271	634	1698
272	636	1695
273	639	1693
274	641	1691
275	643	1687
276	645	1684
